               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05816,            0.020223,                   0,             0.69737,             0.63094,             0.72699,             0.38574,             0.02633,           0.0063725,                   0,             0.07002,           0.0033311,           0.0033311
                   1,            0.039874,            0.014996,                   0,             0.81261,             0.77098,             0.83769,             0.46311,            0.024154,           0.0057065,                   0,            0.039954,           0.0065984,           0.0065984
                   2,            0.037413,            0.014088,                   0,             0.72903,              0.7548,              0.8075,             0.44339,             0.02423,           0.0056723,                   0,           0.0098223,           0.0097998,           0.0097998
                   3,            0.035584,            0.014164,                   0,             0.75973,             0.80886,             0.84001,             0.49175,             0.02213,           0.0055453,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.033297,             0.01324,                   0,             0.83171,             0.83215,             0.88006,             0.52491,            0.021373,           0.0051969,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.031758,            0.012996,                   0,             0.84288,             0.83822,             0.90408,              0.5583,            0.020371,           0.0051069,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.030419,            0.012795,                   0,             0.85997,             0.85691,              0.9028,             0.58211,            0.019395,           0.0049691,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.029378,            0.012592,                   0,             0.86419,             0.85187,             0.91115,             0.58601,            0.019587,            0.004869,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.028831,            0.012261,                   0,             0.85375,             0.84934,             0.90388,             0.57784,            0.019728,            0.004891,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.028294,            0.012068,                   0,             0.86643,             0.89181,             0.92531,             0.59932,            0.018596,           0.0047451,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.027874,            0.012016,                   0,             0.85062,             0.87209,             0.91772,             0.58862,            0.018696,           0.0047816,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.028075,            0.011972,                   0,             0.87142,             0.87712,             0.92191,             0.61521,            0.018207,           0.0047054,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.026947,            0.011517,                   0,             0.88117,              0.9095,              0.9367,             0.63076,            0.017822,           0.0045558,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.027097,              0.0115,                   0,             0.87512,             0.89889,             0.94169,             0.62668,            0.017752,           0.0045255,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.026432,            0.011434,                   0,             0.89684,             0.90394,              0.9469,             0.63727,            0.017945,           0.0044994,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.026535,            0.011414,                   0,             0.88972,             0.91369,              0.9505,             0.64542,            0.017284,           0.0043842,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.026122,            0.011228,                   0,             0.87309,              0.9182,             0.94806,             0.65559,            0.017132,           0.0043345,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.026011,            0.011311,                   0,             0.89263,             0.90445,             0.94679,             0.64511,            0.017243,           0.0043947,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.02563,            0.011217,                   0,              0.8987,             0.91494,             0.95037,             0.66211,            0.016986,            0.004283,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.025842,            0.011134,                   0,             0.90159,             0.90783,             0.94731,             0.65489,            0.017157,           0.0043304,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.025438,             0.01113,                   0,             0.89922,              0.8886,             0.94641,             0.65358,            0.016853,           0.0042747,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.024831,            0.010842,                   0,             0.87734,             0.92619,             0.94985,              0.6569,            0.016666,           0.0042694,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.025019,            0.010682,                   0,             0.88695,             0.92817,             0.95144,             0.67509,             0.01619,           0.0041932,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.02444,            0.010882,                   0,             0.88885,             0.93388,             0.95707,             0.67508,            0.016257,            0.004155,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.024115,            0.010598,                   0,             0.89062,             0.91254,             0.95377,              0.6651,            0.016247,            0.004232,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.024147,            0.010634,                   0,             0.91096,             0.92588,              0.9619,             0.67671,            0.016204,            0.004106,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.024011,            0.010613,                   0,             0.90458,             0.90243,              0.9554,             0.67213,            0.016417,           0.0041402,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.023879,             0.01056,                   0,             0.91043,             0.94135,             0.96254,             0.68632,            0.015811,           0.0039962,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.023653,             0.01043,                   0,             0.90649,             0.92633,              0.9585,             0.68736,            0.015757,           0.0040331,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.023565,            0.010372,                   0,             0.90506,             0.93225,             0.96164,             0.69164,            0.015852,           0.0040489,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.02316,            0.010248,                   0,             0.91747,             0.93858,             0.96682,             0.69875,            0.015531,           0.0039978,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.023536,            0.010303,                   0,             0.91998,             0.93225,             0.96554,             0.69815,            0.015519,           0.0039838,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.023429,             0.01021,                   0,             0.90265,             0.93782,             0.96141,             0.69181,            0.015427,           0.0040146,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.022929,            0.010073,                   0,             0.91324,             0.94194,             0.96412,             0.69324,            0.015602,           0.0039877,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.023092,            0.010001,                   0,             0.91224,              0.9368,              0.9622,             0.69369,            0.015729,           0.0040059,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.022669,            0.010075,                   0,              0.9203,             0.93428,             0.96759,             0.70932,            0.014891,           0.0038942,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.022719,            0.010076,                   0,             0.92816,             0.94059,             0.97132,              0.7195,            0.014871,           0.0038443,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.022578,            0.009957,                   0,             0.92182,             0.94944,             0.97075,              0.7186,            0.014734,           0.0038124,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.022744,           0.0099202,                   0,             0.92277,             0.94842,             0.97097,             0.71431,            0.014884,           0.0038279,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.022213,            0.009885,                   0,             0.92323,             0.93631,             0.97143,             0.72024,            0.014913,           0.0038399,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.021954,           0.0096981,                   0,             0.92263,             0.94793,             0.97103,             0.71597,            0.014875,           0.0038274,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.022092,           0.0099037,                   0,              0.9282,             0.94112,             0.97116,             0.71848,            0.014746,           0.0038242,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.022247,           0.0096414,                   0,             0.92747,             0.95027,             0.97538,             0.72193,            0.014656,           0.0037892,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.02159,           0.0095313,                   0,             0.93261,             0.94843,             0.97309,             0.72411,            0.014621,           0.0037988,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.021808,           0.0096525,                   0,             0.93637,             0.93883,             0.97318,             0.72651,            0.014405,            0.003788,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.021651,           0.0095709,                   0,             0.92298,             0.94489,              0.9724,             0.73186,            0.014469,           0.0037398,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.021594,           0.0096623,                   0,             0.92717,             0.94186,             0.97372,             0.73382,            0.014358,           0.0037494,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.021417,           0.0095189,                   0,              0.9277,             0.95361,             0.97465,              0.7394,             0.01403,           0.0036888,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.021218,           0.0094263,                   0,             0.92572,             0.95753,             0.97361,             0.73207,            0.014148,           0.0037085,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.021243,            0.009404,                   0,             0.93388,             0.94962,             0.97371,             0.73151,            0.014079,           0.0037059,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020939,           0.0094031,                   0,             0.94109,              0.9459,             0.97322,              0.7391,            0.014052,           0.0036289,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.021095,           0.0094161,                   0,             0.94017,             0.95336,             0.97479,             0.73954,            0.013887,           0.0036339,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.020755,           0.0093326,                   0,             0.93995,             0.95501,             0.97674,             0.74271,            0.013906,           0.0036514,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.020534,           0.0092186,                   0,             0.94226,             0.94886,              0.9763,             0.74759,            0.013876,           0.0036234,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.020761,           0.0093484,                   0,             0.94076,             0.94742,              0.9765,             0.74779,            0.013736,           0.0036241,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.020583,           0.0091978,                   0,             0.94687,             0.95506,             0.97537,             0.74041,            0.013794,           0.0036171,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.020349,           0.0090382,                   0,             0.94209,             0.95096,             0.97978,             0.75224,            0.013566,            0.003562,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.020335,           0.0090761,                   0,             0.94019,             0.95753,             0.97939,             0.74942,            0.013542,           0.0035514,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02033,           0.0089942,                   0,             0.95124,             0.96006,             0.98207,             0.75202,            0.013607,           0.0035817,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.020138,           0.0089541,                   0,             0.94643,             0.95602,             0.97821,             0.75321,            0.013499,           0.0036053,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.020033,           0.0090109,                   0,             0.94278,             0.95248,             0.97865,             0.75301,            0.013477,           0.0035722,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.019807,           0.0088515,                   0,             0.94879,             0.95905,             0.97828,             0.75588,            0.013416,            0.003556,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019565,           0.0087919,                   0,             0.94615,             0.95399,             0.97912,             0.75741,            0.013341,           0.0035484,                   0,            0.003961,            0.003961,            0.003961
                  63,              0.0194,           0.0088409,                   0,             0.94254,             0.95854,              0.9805,             0.75736,            0.013351,           0.0035134,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.019513,           0.0086918,                   0,              0.9437,             0.95652,             0.98173,             0.75938,             0.01325,           0.0035192,                   0,            0.003763,            0.003763,            0.003763
